task,mode,sweep_id,fold,run_name,wandb_run_id,state,last_step,best_f1,num_metric_points
Brain Invaders P300,Linear probe,M0,2,bi_lp_pretrain_M0_baseline_leak_fixed_fold2,2e92f99e,finished,17987,0.2958410084247589,17
Brain Invaders P300,Linear probe,M1,2,bi_lp_pretrain_M1_ratio70_leak_fixed_fold2,641d39ec,finished,35973,0.3069767355918884,34
Brain Invaders P300,Linear probe,M1,1,bi_lp_pretrain_M1_ratio70_leak_fixed_fold1,61bea0be,finished,33021,0.3137103021144867,26
Brain Invaders P300,Linear probe,M1,0,bi_lp_pretrain_M1_ratio70_leak_fixed_fold0,d1bd80f3,finished,30481,0.2897440493106842,30
Brain Invaders P300,Linear probe,M2,0,bi_lp_pretrain_M2_ratio80_leak_fixed_fold0,08000431,finished,21337,0.28754207491874695,21
Brain Invaders P300,Linear probe,M2,1,bi_lp_pretrain_M2_ratio80_leak_fixed_fold1,8128d1c1,finished,22861,0.3012457489967346,18
Brain Invaders P300,Linear probe,M2,2,bi_lp_pretrain_M2_ratio80_leak_fixed_fold2,f9165f8e,finished,28567,0.3127571940422058,27
Brain Invaders P300,Linear probe,M3,0,bi_lp_pretrain_M3_ratio90_leak_fixed_fold0,ca08bd0a,finished,25401,0.28616851568222046,25
Brain Invaders P300,Linear probe,M3,2,bi_lp_pretrain_M3_ratio90_leak_fixed_fold2,3e7c9ab1,finished,17987,0.2912454903125763,17
Brain Invaders P300,Linear probe,M3,1,bi_lp_pretrain_M3_ratio90_leak_fixed_fold1,9f389c7e,finished,58421,0.30547264218330383,46
Brain Invaders P300,Linear probe,M4,1,bi_lp_pretrain_M4_block20_leak_fixed_fold1,ef17831f,finished,33021,0.3071613311767578,26
Brain Invaders P300,Linear probe,M4,0,bi_lp_pretrain_M4_block20_leak_fixed_fold0,f949c3b5,finished,11177,0.2859654128551483,11
Brain Invaders P300,Linear probe,M4,2,bi_lp_pretrain_M4_block20_leak_fixed_fold2,b1e12297,finished,16929,0.2921651303768158,16
