species,paradigm,sweep_id,run_id,run_name,state,group,tokenizer,atn_dropout,learning_rate,weight_decay,grad_clip,fold,split_type,subject,recording_id,n_recordings,f1,auroc,precision,recall,balanced_acc
minipigs,single-session,hiyb4224,fm4yt1ra,poyo_eeg_neurosoft_8band_sub-07_ses-05_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,0,intrasession-block,sub-07,sub-07_ses-05_task-AcousStim_acq-RH_desc-raw,1,0.4645962417125702,0.7527207136154175,0.5552272796630859,0.5042016506195068,0.5042016506195068
minipigs,single-session,hiyb4224,nx1jfuv7,poyo_eeg_neurosoft_8band_sub-02_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-02,sub-02_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.4511868953704834,0.5952624678611755,0.4790045619010925,0.4574751257896423,0.4574751257896423
minipigs,single-session,hiyb4224,52mxbyeg,poyo_eeg_neurosoft_8band_sub-01_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-01,sub-01_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.1690678149461746,0.6222774982452393,0.2363165616989135,0.1764229387044906,0.1764229387044906
minipigs,single-session,hiyb4224,rjfz7zwt,poyo_eeg_neurosoft_8band_sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-01,sub-01_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.2323549687862396,0.4792934656143189,0.3897875845432281,0.2580526173114776,0.2580526173114776
minipigs,single-session,hiyb4224,8v5lsje2,poyo_eeg_neurosoft_8band_sub-02_ses-01_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-02,sub-02_ses-01_task-AcousStim_acq-RH_desc-raw,1,0.0932655036449432,0.4300476312637329,0.1091503351926803,0.1712719351053238,0.1712719351053238
minipigs,single-session,hiyb4224,mkaguemj,poyo_eeg_neurosoft_8band_sub-02_ses-02_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-02,sub-02_ses-02_task-AcousStim_acq-LH_desc-raw,1,0.1990889012813568,0.5713204741477966,0.2059614062309265,0.2022235542535781,0.2022235542535781
minipigs,single-session,hiyb4224,mjml1wp6,poyo_eeg_neurosoft_8band_sub-02_ses-02_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-02,sub-02_ses-02_task-AcousStim_acq-RH_desc-raw,1,0.0849916487932205,0.5215021371841431,0.1169467866420745,0.1343449503183365,0.1343449503183365
minipigs,single-session,hiyb4224,k6hwhz05,poyo_eeg_neurosoft_8band_sub-03_ses-01_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-01_task-AcousStim_acq-RH_desc-raw,1,0.4538765847682953,0.6964817047119141,0.5313969850540161,0.461467832326889,0.461467832326889
minipigs,single-session,hiyb4224,35oxbsph,poyo_eeg_neurosoft_8band_sub-03_ses-01_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-01_task-AcousStim_acq-LH_desc-raw,1,0.5034130811691284,0.7075678110122681,0.5936607718467712,0.5088140964508057,0.5088140964508057
minipigs,single-session,hiyb4224,edc2cnhh,poyo_eeg_neurosoft_8band_sub-03_ses-03_task-AcousStim_acq-LHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-03_task-AcousStim_acq-LHanest_desc-raw,1,0.5916313529014587,0.900881052017212,0.6052265167236328,0.5953024625778198,0.5953024625778198
minipigs,single-session,hiyb4224,tqqooon8,poyo_eeg_neurosoft_8band_sub-03_ses-03_task-AcousStim_acq-RHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-03_task-AcousStim_acq-RHanest_desc-raw,1,0.0437062941491603,0.5431293845176697,0.0264830514788627,0.125,0.125
minipigs,single-session,hiyb4224,yjw5bsv0,poyo_eeg_neurosoft_8band_sub-03_ses-04_task-AcousStim_acq-LHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-04_task-AcousStim_acq-LHanest_desc-raw,1,0.0714285746216774,0.4584134817123413,0.0509305149316787,0.1428571492433548,0.1428571492433548
minipigs,single-session,hiyb4224,w57lfer0,poyo_eeg_neurosoft_8band_sub-03_ses-04_task-AcousStim_acq-RHanest_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-04_task-AcousStim_acq-RHanest_desc-raw,1,0.0749668329954147,0.46760293841362,0.0595150887966156,0.1428571492433548,0.1428571492433548
minipigs,single-session,hiyb4224,m2vx1yz8,poyo_eeg_neurosoft_8band_sub-03_ses-06_task-AcousStim_acq-LH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-06_task-AcousStim_acq-LH_desc-raw,1,0.5116374492645264,0.8684268593788147,0.5683462619781494,0.5177083015441895,0.5177083015441895
minipigs,single-session,hiyb4224,reg95afl,poyo_eeg_neurosoft_8band_sub-03_ses-06_task-AcousStim_acq-RH_desc-raw,finished,NEUROSOFT_INTRASESSION_SINGLESESS,per_channel_resample_cnn,0.2,2.75e-05,0.08,0.5,1,intrasession-block,sub-03,sub-03_ses-06_task-AcousStim_acq-RH_desc-raw,1,0.0538116581737995,0.5630949139595032,0.0342857129871845,0.125,0.125
