species,paradigm,unit,f1_mean,f1_std,f1_n,auroc_mean,auroc_std,auroc_n,precision_mean,precision_std,precision_n,recall_mean,recall_std,recall_n,balanced_acc_mean,balanced_acc_std,balanced_acc_n,is_outlier,outlier_reason
minipigs,single-session,sub-04_ses-02_task-AcousStim_acq-LH_desc-raw,0.2674952993790309,0.030259956349525403,3,0.7601346572240194,0.010764587601636108,3,0.3183092971642812,0.05160917178096583,3,0.28822229305903113,0.01722013722799999,3,0.28822229305903113,0.01722013722799999,3,False,
minipigs,single-session,sub-04_ses-02_task-AcousStim_acq-RH_desc-raw,0.3424883584181468,0.04664118726101512,3,0.7475152214368185,0.003221735710159338,3,0.40261969963709515,0.02265250927392648,3,0.3558633228143056,0.050228226213545744,3,0.3558633228143056,0.050228226213545744,3,False,
minipigs,single-session,sub-04_ses-03_task-AcousStim_acq-LH_desc-raw,0.06748476748665166,0.015838023102361147,3,0.5001938740412394,0.014849962237555117,3,0.04840833569566403,0.02035376749070312,3,0.1428571492433548,0.0,3,0.1428571492433548,0.0,3,False,
minipigs,single-session,sub-04_ses-03_task-AcousStim_acq-RH_desc-raw,0.07405170425772663,0.016012696772901198,3,0.5020441214243571,0.019080658697937396,3,0.08404116580883657,0.05554961154357738,3,0.14976514875888824,0.006178224447814158,3,0.14976514875888824,0.006178224447814158,3,False,
minipigs,single-session,sub-04_ses-04_task-AcousStim_acq-LH_desc-raw,0.7362402478853861,0.026194584223825194,3,0.83394455909729,0.004720776641678055,3,0.7789820631345113,0.01363434043509763,3,0.7408910592397054,0.02924124941029165,3,0.7408910592397054,0.02924124941029165,3,False,
minipigs,single-session,sub-04_ses-04_task-AcousStim_acq-RH_desc-raw,0.3800797363122304,0.0411177126821658,3,0.7191750208536783,0.005382573158453899,3,0.520115077495575,0.0782393507830332,3,0.428060382604599,0.025674389347508975,3,0.428060382604599,0.025674389347508975,3,False,
minipigs,single-session,sub-05_ses-01_task-AcousStim_acq-LH_desc-raw,0.11417011916637416,0.01507058852681708,3,0.46313197414080304,0.031228818166436273,3,0.1665671318769454,0.047520204952937094,3,0.21527778108914694,0.015911720621091374,3,0.21527778108914694,0.015911720621091374,3,False,
minipigs,single-session,sub-05_ses-01_task-AcousStim_acq-RH_desc-raw,0.12336059659719463,0.03129734920621133,3,0.439555823802948,0.022939819121393118,3,0.1662862052520116,0.0252334850150819,3,0.20833333333333334,0.01041666418314069,3,0.20833333333333334,0.01041666418314069,3,False,
minipigs,single-session,sub-05_ses-02_task-AcousStim_acq-LH_desc-raw,0.40159385402997333,0.01312279459866119,3,0.6560823321342468,0.020777375731542813,3,0.49628394842147827,0.051156190039901,3,0.39912861585617065,0.010275421559108235,3,0.39912861585617065,0.010275421559108235,3,False,
minipigs,single-session,sub-05_ses-02_task-AcousStim_acq-RH_desc-raw,0.16973243405421568,0.19241765068721023,3,0.5555008252461752,0.09628706008160098,3,0.18042878061532966,0.24861355067171093,3,0.24074360728263855,0.1695443186969984,3,0.24074360728263855,0.1695443186969984,3,False,
