species,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,weight_decay,n_folds,f1_mean,f1_std,auroc_mean,auroc_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
minipigs,128,4,6,8,1/3,0.08,1,0.36579951643943787,0.0,0.7762385010719299,0.0,0.3739342987537384,0.0,0.3686850666999817,0.0,0.3686850666999817,0.0
minipigs,128,4,6,8,1/4,0.08,1,0.355482280254364,0.0,0.7755443453788757,0.0,0.3745690584182739,0.0,0.35398685932159424,0.0,0.35398685932159424,0.0
minipigs,128,4,8,6,1/2,0.08,1,0.3708425760269165,0.0,0.7821135520935059,0.0,0.3880755305290222,0.0,0.3716053068637848,0.0,0.3716053068637848,0.0
minipigs,128,4,8,6,1/2,0.1,1,0.36993616819381714,0.0,0.7827943563461304,0.0,0.38725197315216064,0.0,0.3694194555282593,0.0,0.3694194555282593,0.0
minipigs,128,4,8,6,1/3,0.08,1,0.3716873824596405,0.0,0.7745873928070068,0.0,0.38070106506347656,0.0,0.3689884543418884,0.0,0.3689884543418884,0.0
minipigs,128,4,8,6,1/3,0.1,1,0.36839884519577026,0.0,0.7748150825500488,0.0,0.37895211577415466,0.0,0.36766546964645386,0.0,0.36766546964645386,0.0
minipigs,128,4,8,6,1/4,0.08,1,0.3584110140800476,0.0,0.7682256698608398,0.0,0.36703193187713623,0.0,0.35648685693740845,0.0,0.35648685693740845,0.0
minipigs,128,4,8,8,1/2,0.08,1,0.3674871325492859,0.0,0.7839927673339844,0.0,0.3749723434448242,0.0,0.3666853606700897,0.0,0.3666853606700897,0.0
minipigs,128,4,8,8,1/3,0.08,1,0.36168625950813293,0.0,0.7687615156173706,0.0,0.3807787299156189,0.0,0.3620162606239319,0.0,0.3620162606239319,0.0
minipigs,128,4,8,8,1/4,0.08,1,0.3597114682197571,0.0,0.7780811786651611,0.0,0.3735712170600891,0.0,0.3581581115722656,0.0,0.3581581115722656,0.0
minipigs,256,2,6,6,1/2,0.08,1,0.37913987040519714,0.0,0.7910875082015991,0.0,0.3917934000492096,0.0,0.37824636697769165,0.0,0.37824636697769165,0.0
minipigs,256,2,6,6,1/2,0.1,1,0.38144904375076294,0.0,0.790440559387207,0.0,0.394070565700531,0.0,0.37951838970184326,0.0,0.37951838970184326,0.0
minipigs,256,2,6,6,1/3,0.08,1,0.3623378276824951,0.0,0.7788411378860474,0.0,0.37336570024490356,0.0,0.35997194051742554,0.0,0.35997194051742554,0.0
minipigs,256,2,6,6,1/3,0.1,1,0.3604804277420044,0.0,0.7786939144134521,0.0,0.3746919631958008,0.0,0.35839134454727173,0.0,0.35839134454727173,0.0
minipigs,256,2,6,6,1/4,0.08,1,0.34636032581329346,0.0,0.7666549682617188,0.0,0.36143890023231506,0.0,0.3448176085948944,0.0,0.3448176085948944,0.0
minipigs,256,2,6,6,1/4,0.1,1,0.3482173681259155,0.0,0.7668524384498596,0.0,0.3577249050140381,0.0,0.347308874130249,0.0,0.347308874130249,0.0
minipigs,256,2,6,8,1/2,0.08,1,0.3785661458969116,0.0,0.7903587222099304,0.0,0.3955857753753662,0.0,0.3770933747291565,0.0,0.3770933747291565,0.0
minipigs,256,2,6,8,1/3,0.08,1,0.36415839195251465,0.0,0.7721362113952637,0.0,0.37259864807128906,0.0,0.3625710606575012,0.0,0.3625710606575012,0.0
minipigs,256,2,6,8,1/4,0.08,1,0.3623230755329132,0.0,0.7757483720779419,0.0,0.3743065297603607,0.0,0.3587506413459778,0.0,0.3587506413459778,0.0
minipigs,256,2,8,6,1/2,0.08,1,0.3640589118003845,0.0,0.7787606716156006,0.0,0.3798176050186157,0.0,0.3624289631843567,0.0,0.3624289631843567,0.0
minipigs,256,2,8,6,1/2,0.1,1,0.3626147508621216,0.0,0.7789162993431091,0.0,0.37959539890289307,0.0,0.3605312705039978,0.0,0.3605312705039978,0.0
minipigs,256,2,8,6,1/3,0.08,1,0.37455761432647705,0.0,0.7833760380744934,0.0,0.3850433826446533,0.0,0.3720206916332245,0.0,0.3720206916332245,0.0
minipigs,256,2,8,6,1/3,0.1,1,0.3743806481361389,0.0,0.7827320098876953,0.0,0.3859666585922241,0.0,0.3715885877609253,0.0,0.3715885877609253,0.0
minipigs,256,2,8,6,1/4,0.08,1,0.35398179292678833,0.0,0.771485447883606,0.0,0.37026888132095337,0.0,0.3506721258163452,0.0,0.3506721258163452,0.0
minipigs,256,2,8,6,1/4,0.1,1,0.35469505190849304,0.0,0.7718721628189087,0.0,0.37063831090927124,0.0,0.35265371203422546,0.0,0.35265371203422546,0.0
minipigs,256,2,8,8,1/2,0.08,1,0.3795155882835388,0.0,0.7900712490081787,0.0,0.3871959447860718,0.0,0.37900155782699585,0.0,0.37900155782699585,0.0
minipigs,256,2,8,8,1/3,0.08,1,0.36526572704315186,0.0,0.7897899150848389,0.0,0.38065361976623535,0.0,0.36466673016548157,0.0,0.36466673016548157,0.0
minipigs,256,2,8,8,1/4,0.08,1,0.3595064878463745,0.0,0.7755272388458252,0.0,0.37284111976623535,0.0,0.35614556074142456,0.0,0.35614556074142456,0.0
minipigs,256,4,6,6,1/2,0.08,1,0.35962021350860596,0.0,0.7765789031982422,0.0,0.3803344964981079,0.0,0.35744595527648926,0.0,0.35744595527648926,0.0
minipigs,256,4,6,6,1/3,0.08,1,0.3683568835258484,0.0,0.7840235233306885,0.0,0.381884902715683,0.0,0.367355614900589,0.0,0.367355614900589,0.0
minipigs,256,4,6,6,1/4,0.08,1,0.34678733348846436,0.0,0.7700238227844238,0.0,0.35986292362213135,0.0,0.34561973810195923,0.0,0.34561973810195923,0.0
minipigs,256,4,6,8,1/2,0.08,1,0.37665998935699463,0.0,0.7888892889022827,0.0,0.39115384221076965,0.0,0.3726985454559326,0.0,0.3726985454559326,0.0
minipigs,256,4,6,8,1/3,0.08,1,0.3708237409591675,0.0,0.777890145778656,0.0,0.38250619173049927,0.0,0.36739692091941833,0.0,0.36739692091941833,0.0
