species,sweep_id,run_id,run_name,state,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,tokenizer,weight_decay,learning_rate,atn_dropout,grad_clip,fold,split_type,batch_size,f1,auroc,precision,recall,balanced_acc
minipigs,ov9f1g0n,5pjo9hnx,poyo_eeg_neurosoft_8band,finished,32,2,8,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.365454375743866,0.7772603034973145,0.3787495493888855,0.3648280203342438,0.3648280203342438
minipigs,ov9f1g0n,wzii5pxf,poyo_eeg_neurosoft_8band,finished,256,2,8,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36526572704315186,0.7897899150848389,0.38065361976623535,0.36466673016548157,0.36466673016548157
minipigs,ov9f1g0n,mgdykry4,poyo_eeg_neurosoft_8band,finished,64,4,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3651115894317627,0.7824192047119141,0.38207706809043884,0.3640210032463074,0.3640210032463074
minipigs,ov9f1g0n,1xlj9o8c,poyo_eeg_neurosoft_8band,finished,32,2,8,8,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3650439977645874,0.778977632522583,0.38361912965774536,0.3627764582633972,0.3627764582633972
minipigs,ov9f1g0n,mjqm23l0,poyo_eeg_neurosoft_8band,finished,128,4,6,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36490628123283386,0.7678312063217163,0.3764687180519104,0.36341729760169983,0.36341729760169983
minipigs,ov9f1g0n,h92lpanv,poyo_eeg_neurosoft_8band,finished,64,4,8,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36474400758743286,0.7720800638198853,0.37721312046051025,0.3636229634284973,0.3636229634284973
minipigs,ov9f1g0n,nr4yriqq,poyo_eeg_neurosoft_8band,finished,64,2,6,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3647315502166748,0.7760635614395142,0.3822747468948364,0.36482638120651245,0.36482638120651245
minipigs,ov9f1g0n,qs4xgi1p,poyo_eeg_neurosoft_8band,finished,256,2,6,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36415839195251465,0.7721362113952637,0.37259864807128906,0.3625710606575012,0.3625710606575012
minipigs,ov9f1g0n,avrhpvn4,poyo_eeg_neurosoft_8band,finished,256,2,8,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3640589118003845,0.7787606716156006,0.3798176050186157,0.3624289631843567,0.3624289631843567
minipigs,ov9f1g0n,0w48vp7h,poyo_eeg_neurosoft_8band,finished,64,2,6,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3640499413013458,0.7681200504302979,0.38413411378860474,0.35901641845703125,0.35901641845703125
minipigs,ov9f1g0n,7b99afty,poyo_eeg_neurosoft_8band,finished,64,2,6,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3635299801826477,0.7768828868865967,0.38763993978500366,0.360870897769928,0.360870897769928
minipigs,ov9f1g0n,rrr255zt,poyo_eeg_neurosoft_8band,finished,64,4,6,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3631815314292908,0.780289351940155,0.39174824953079224,0.3585461974143982,0.3585461974143982
minipigs,ov9f1g0n,ou7m6y75,poyo_eeg_neurosoft_8band,finished,64,2,6,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36285510659217834,0.7792143225669861,0.3764604926109314,0.3642701804637909,0.3642701804637909
minipigs,ov9f1g0n,nn7o9vch,poyo_eeg_neurosoft_8band,finished,256,2,8,6,1/2,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3626147508621216,0.7789162993431091,0.37959539890289307,0.3605312705039978,0.3605312705039978
minipigs,ov9f1g0n,71nv5lkb,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/4,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36250039935112,0.7808598279953003,0.3705459237098694,0.36086493730545044,0.36086493730545044
minipigs,ov9f1g0n,dyv1pxjl,poyo_eeg_neurosoft_8band,finished,256,2,6,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3623378276824951,0.7788411378860474,0.37336570024490356,0.35997194051742554,0.35997194051742554
minipigs,ov9f1g0n,b3r253tz,poyo_eeg_neurosoft_8band,finished,256,2,6,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3623230755329132,0.7757483720779419,0.3743065297603607,0.3587506413459778,0.3587506413459778
minipigs,ov9f1g0n,mg0rv7ib,poyo_eeg_neurosoft_8band,finished,64,4,8,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3622128963470459,0.7762550115585327,0.3843815326690674,0.3626444935798645,0.3626444935798645
minipigs,ov9f1g0n,fw2jcrit,poyo_eeg_neurosoft_8band,finished,32,2,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.362196147441864,0.775229275226593,0.37280356884002686,0.36399370431900024,0.36399370431900024
minipigs,ov9f1g0n,jf76zztt,poyo_eeg_neurosoft_8band,finished,128,2,8,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3621506690979004,0.7805485725402832,0.36924928426742554,0.3607870042324066,0.3607870042324066
minipigs,ov9f1g0n,q9x14kh2,poyo_eeg_neurosoft_8band,finished,64,2,8,6,1/4,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36171019077301025,0.7687240839004517,0.38203901052474976,0.3605040907859802,0.3605040907859802
minipigs,ov9f1g0n,l13kz3me,poyo_eeg_neurosoft_8band,finished,128,4,8,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36168625950813293,0.7687615156173706,0.3807787299156189,0.3620162606239319,0.3620162606239319
minipigs,ov9f1g0n,ajtvt0ur,poyo_eeg_neurosoft_8band,finished,64,2,8,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36159393191337585,0.7686337232589722,0.38234567642211914,0.36010703444480896,0.36010703444480896
minipigs,ov9f1g0n,3ku2x04u,poyo_eeg_neurosoft_8band,finished,32,4,8,8,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3612971007823944,0.7726670503616333,0.37697654962539673,0.363023579120636,0.363023579120636
minipigs,ov9f1g0n,45ztjksp,poyo_eeg_neurosoft_8band,finished,128,4,6,6,1/4,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36115989089012146,0.7679781317710876,0.37995651364326477,0.3576299250125885,0.3576299250125885
minipigs,ov9f1g0n,w9osvmfg,poyo_eeg_neurosoft_8band,finished,256,2,6,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3604804277420044,0.7786939144134521,0.3746919631958008,0.35839134454727173,0.35839134454727173
minipigs,ov9f1g0n,bgut4fy8,poyo_eeg_neurosoft_8band,finished,64,4,6,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3604029715061188,0.7667741179466248,0.36734041571617126,0.3637445271015167,0.3637445271015167
minipigs,ov9f1g0n,4o390nco,poyo_eeg_neurosoft_8band,finished,128,4,6,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.36017361283302307,0.7683796882629395,0.3773958086967468,0.3590182960033417,0.3590182960033417
minipigs,ov9f1g0n,mph2y2mn,poyo_eeg_neurosoft_8band,finished,32,2,8,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3599075973033905,0.776817798614502,0.36961692571640015,0.3625732958316803,0.3625732958316803
minipigs,ov9f1g0n,dhzx8qh9,poyo_eeg_neurosoft_8band,finished,128,4,8,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3597114682197571,0.7780811786651611,0.3735712170600891,0.3581581115722656,0.3581581115722656
minipigs,ov9f1g0n,mcoyaxsr,poyo_eeg_neurosoft_8band,finished,256,4,6,6,1/2,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.35962021350860596,0.7765789031982422,0.3803344964981079,0.35744595527648926,0.35744595527648926
minipigs,ov9f1g0n,di8f8ggs,poyo_eeg_neurosoft_8band,finished,256,2,8,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3595064878463745,0.7755272388458252,0.37284111976623535,0.35614556074142456,0.35614556074142456
minipigs,ov9f1g0n,jtc8hlzg,poyo_eeg_neurosoft_8band,finished,64,2,8,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3590235710144043,0.7712271213531494,0.3790872097015381,0.36087357997894287,0.36087357997894287
minipigs,ov9f1g0n,1a6gxkby,poyo_eeg_neurosoft_8band,finished,64,4,6,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.35899829864501953,0.7672367095947266,0.3671712875366211,0.36059659719467163,0.36059659719467163
minipigs,ov9f1g0n,h5h1321c,poyo_eeg_neurosoft_8band,finished,256,4,8,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3586578965187073,0.7723212242126465,0.3684082627296448,0.3566046953201294,0.3566046953201294
minipigs,ov9f1g0n,a6sfbbn0,poyo_eeg_neurosoft_8band,finished,128,4,8,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3584110140800476,0.7682256698608398,0.36703193187713623,0.35648685693740845,0.35648685693740845
minipigs,ov9f1g0n,fdm2g3az,poyo_eeg_neurosoft_8band,finished,64,2,8,6,1/3,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.357576847076416,0.7712445259094238,0.37716132402420044,0.36039385199546814,0.36039385199546814
minipigs,ov9f1g0n,j7mu0d13,poyo_eeg_neurosoft_8band,finished,128,2,6,6,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.35743266344070435,0.7747353315353394,0.3770536184310913,0.35447537899017334,0.35447537899017334
minipigs,ov9f1g0n,47ibbech,poyo_eeg_neurosoft_8band,finished,32,2,6,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.35742896795272827,0.7750322818756104,0.3678446412086487,0.3569016456604004,0.3569016456604004
minipigs,ov9f1g0n,iynuwv4b,poyo_eeg_neurosoft_8band,finished,64,2,8,8,1/4,per_channel_resample_cnn,0.08,2.75e-05,0.2,0.5,0,intrasession-block,128,0.35726016759872437,0.7705214619636536,0.3763410449028015,0.35823482275009155,0.35823482275009155
minipigs,ov9f1g0n,pap5qhlx,poyo_eeg_neurosoft_8band,finished,32,4,6,6,1/3,per_channel_resample_cnn,0.1,2.75e-05,0.2,0.5,0,intrasession-block,128,0.3571232855319977,0.7658171653747559,0.3704628646373749,0.35998255014419556,0.35998255014419556
