species,sweep_id,run_id,run_name,state,gamma,alpha_smoothing,label_smoothing,weight_decay,learning_rate,atn_dropout,tokenizer,fold,split_type,grad_clip,f1,auroc,precision,recall,balanced_acc
monkeys,jwdf3c4z,ubdan13a,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.51433265209198,0.8879374265670776,0.5125800371170044,0.5210975408554077,0.5210975408554077
monkeys,jwdf3c4z,ifk3beho,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5142881870269775,0.8844023942947388,0.5128110647201538,0.5266550779342651,0.5266550779342651
monkeys,jwdf3c4z,7kw1fkzf,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5113753080368042,0.8894196152687073,0.5096774101257324,0.5293696522712708,0.5293696522712708
monkeys,jwdf3c4z,yfo9dfm9,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5093694925308228,0.8839828372001648,0.508238673210144,0.5182398557662964,0.5182398557662964
monkeys,jwdf3c4z,tc4vu25v,poyo_eeg_neurosoft_8band,finished,0.5,1.0,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.508899450302124,0.8864055871963501,0.5054293274879456,0.52547687292099,0.52547687292099
monkeys,jwdf3c4z,f27o7ruz,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5088878870010376,0.883499264717102,0.506864607334137,0.522710919380188,0.522710919380188
monkeys,jwdf3c4z,ziqegywj,poyo_eeg_neurosoft_8band,finished,2.0,0.75,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5075152516365051,0.8862541913986206,0.5051147937774658,0.520663857460022,0.520663857460022
monkeys,jwdf3c4z,b6iuw4q3,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5064180493354797,0.8884404897689819,0.506745457649231,0.5219676494598389,0.5219676494598389
monkeys,jwdf3c4z,l3thxd39,poyo_eeg_neurosoft_8band,finished,1.0,1.0,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5062227249145508,0.8843958377838135,0.5047309398651123,0.5194723606109619,0.5194723606109619
monkeys,jwdf3c4z,bk5ure2i,poyo_eeg_neurosoft_8band,finished,1.5,0.75,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5058795809745789,0.8853929042816162,0.5044957399368286,0.520951509475708,0.520951509475708
monkeys,jwdf3c4z,vjygau8p,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.505245566368103,0.8862914443016052,0.5043860077857971,0.5234402418136597,0.5234402418136597
monkeys,jwdf3c4z,twjurtin,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5049717426300049,0.8844883441925049,0.5021762847900391,0.5213626623153687,0.5213626623153687
monkeys,jwdf3c4z,4e8s7lzf,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5042884349822998,0.8837066888809204,0.5012282133102417,0.5189255475997925,0.5189255475997925
monkeys,jwdf3c4z,pu2seg07,poyo_eeg_neurosoft_8band,finished,0.5,0.75,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.50346440076828,0.8816553354263306,0.5036025047302246,0.5168876647949219,0.5168876647949219
monkeys,jwdf3c4z,c2ccfqdw,poyo_eeg_neurosoft_8band,finished,1.0,0.75,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5031830668449402,0.8832369446754456,0.5082470178604126,0.5094166994094849,0.5094166994094849
monkeys,jwdf3c4z,2c4a8g0s,poyo_eeg_neurosoft_8band,finished,1.0,0.75,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5030342936515808,0.8809025287628174,0.5029816627502441,0.5128673315048218,0.5128673315048218
monkeys,jwdf3c4z,rwp1gydr,poyo_eeg_neurosoft_8band,finished,1.5,0.75,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5023530721664429,0.884373664855957,0.5001099705696106,0.5111453533172607,0.5111453533172607
monkeys,jwdf3c4z,iqoqw2ip,poyo_eeg_neurosoft_8band,finished,1.5,0.75,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5013533234596252,0.8835152387619019,0.4991304576396942,0.5162443518638611,0.5162443518638611
monkeys,jwdf3c4z,m4idvgj8,poyo_eeg_neurosoft_8band,finished,1.0,0.75,0.2,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.500348687171936,0.8822076320648193,0.4999055862426758,0.5115113854408264,0.5115113854408264
monkeys,jwdf3c4z,yhocqb3s,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.5001248121261597,0.885105311870575,0.498154878616333,0.5126455426216125,0.5126455426216125
monkeys,jwdf3c4z,xeb76y9z,poyo_eeg_neurosoft_8band,finished,0.5,0.75,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.49943867325782776,0.8814267516136169,0.49675285816192627,0.5098074674606323,0.5098074674606323
monkeys,jwdf3c4z,jzqalwjy,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4991625249385834,0.8858004808425903,0.4994691014289856,0.5165742635726929,0.5165742635726929
monkeys,jwdf3c4z,xbf46udm,poyo_eeg_neurosoft_8band,finished,2.0,0.75,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4990634024143219,0.8850960731506348,0.4974427819252014,0.516232967376709,0.516232967376709
monkeys,jwdf3c4z,fxihz635,poyo_eeg_neurosoft_8band,finished,2.0,0.75,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4985602200031281,0.8840335607528687,0.49706900119781494,0.5136212110519409,0.5136212110519409
monkeys,jwdf3c4z,vc5apavz,poyo_eeg_neurosoft_8band,finished,1.0,0.75,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4982560276985169,0.8846856355667114,0.49846014380455017,0.5088375210762024,0.5088375210762024
monkeys,jwdf3c4z,2hr5kcrn,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.1,0.3,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.498052716255188,0.8871860504150391,0.49626538157463074,0.5105751752853394,0.5105751752853394
monkeys,jwdf3c4z,x86lsfyq,poyo_eeg_neurosoft_8band,finished,0.5,0.75,0.2,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4980510473251343,0.881188690662384,0.49822649359703064,0.5129784345626831,0.5129784345626831
monkeys,jwdf3c4z,kkkl18df,poyo_eeg_neurosoft_8band,finished,1.5,0.75,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4971413016319275,0.8826939463615417,0.4947577714920044,0.5112805962562561,0.5112805962562561
monkeys,jwdf3c4z,iv3e0v87,poyo_eeg_neurosoft_8band,finished,0.5,0.75,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4947892427444458,0.8796777725219727,0.4917041063308716,0.5056613683700562,0.5056613683700562
monkeys,jwdf3c4z,1npvc4o2,poyo_eeg_neurosoft_8band,finished,1.5,1.0,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4940175414085388,0.8847504258155823,0.49359947443008423,0.5112495422363281,0.5112495422363281
monkeys,jwdf3c4z,lzoiua91,poyo_eeg_neurosoft_8band,finished,2.0,0.75,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4914640486240387,0.8812822103500366,0.4917416572570801,0.5052657127380371,0.5052657127380371
monkeys,jwdf3c4z,ihy0ly4f,poyo_eeg_neurosoft_8band,finished,2.0,1.0,0.1,0.08,2.5e-05,0.4,per_channel_resample_cnn_add,0,intrasession-block,1.0,0.4909437298774719,0.8854214549064636,0.4902544617652893,0.5089514255523682,0.5089514255523682
