condition,species,subject,recording,base_lr,adapter_warmup_steps,source,cell_id,run_id,run_name,state,test_supported_f1,best_val_supported_f1,analysis_eligible,analysis_error,stable_step,censored
transfer_adapter_warmup_discriminative,monkeys,sub-01,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.0015,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0015__f1__t42,a1a8aefb,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-02_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_discriminative__lr0p0015__f1__t42,finished,0.36360177397727966,0.7220433950424194,True,,944.0,False
transfer_uniform,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.0015,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0015__f1__t42,064a36d1,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0015__f1__t42,finished,0.40108412504196167,0.8906848430633545,True,,1239.0,False
transfer_uniform,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.0003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0003__f1__t42,9568c03d,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p0003__f1__t42,finished,0.3576110601425171,0.8306320905685425,True,,1519.0,False
transfer_uniform,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p003__f1__t42,c566cd4d,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_uniform__lr0p003__f1__t42,finished,0.4310258626937866,0.8983279466629028,True,,679.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.0003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,57a61624,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0003__f1__t42,finished,0.3440437912940979,0.7808069586753845,True,,1719.0,False
transfer_discriminative,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.0003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,76876859,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0003__f1__t42,finished,0.37590181827545166,0.8060729503631592,True,,1679.0,False
transfer_discriminative,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.0015,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,372786ab,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p0015__f1__t42,finished,0.39719158411026,0.8624532222747803,True,,1159.0,False
transfer_discriminative,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.003,0,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p003__f1__t42,1ec659c7,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_discriminative__lr0p003__f1__t42,finished,0.4500442147254944,0.9168651103973388,True,,1119.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.003,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,b6537936,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p003__f1__t42,finished,0.4540849924087525,0.8992393016815186,True,,1159.0,False
transfer_adapter_warmup_uniform,monkeys,sub-01,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.0015,500,pretrained,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,9835ea4e,phase4d-transfer-lr-warmup__monkeys__sub-01_ses-03_task-AcousStim_acq-RH_desc-raw__fullpool-monkeys-sub-01-sel42-model42-step500__transfer_adapter_warmup_uniform__lr0p0015__f1__t42,finished,0.40889471769332886,0.8783646821975708,True,,879.0,False
